# Client: PowClient
# Tasks: 10000
# Format: task_input | result

pow(3.395576, -0.054698) = 0.935320
pow(2.233402, 0.574603) = 1.586782
pow(-2.363374, 0.021161) = -nan
pow(3.038357, -2.169300) = 0.089745
pow(-3.143209, 0.890435) = -nan
pow(0.684430, -0.008029) = 1.003049
pow(-3.557969, -0.760970) = -nan
pow(3.782649, 1.765630) = 10.475485
pow(4.224609, 1.146465) = 5.217260
pow(-2.565776, -0.950053) = -nan
pow(-1.801655, 1.575661) = -nan
pow(-2.558353, -1.447175) = -nan
pow(3.628829, 0.240105) = 1.362708
pow(3.168645, 1.279011) = 4.371425
pow(1.917605, -1.521970) = 0.371235
pow(3.059390, -2.055506) = 0.100410
pow(-3.358269, 1.350324) = -nan
pow(4.614182, 2.783850) = 70.589506
pow(1.385928, -0.474952) = 0.856407
pow(-3.047698, 1.993014) = -nan
pow(3.110004, -2.855239) = 0.039179
pow(1.509842, 1.293325) = 1.703792
pow(2.623464, -0.682515) = 0.517740
pow(3.299224, -1.742707) = 0.124899
pow(-3.969746, 1.429704) = -nan
pow(0.009933, -2.334103) = 47322.728507
pow(-3.485415, 2.350272) = -nan
pow(2.374485, -1.598051) = 0.251085
pow(2.132874, -2.338928) = 0.170049
pow(3.954332, -2.151369) = 0.051937
pow(-4.021748, -0.012650) = -nan
pow(0.299449, -0.774691) = 2.545000
pow(4.188339, -2.987405) = 0.013858
pow(0.412123, 2.563732) = 0.103046
pow(1.105504, -2.843835) = 0.751833
pow(-1.122258, -0.950670) = -nan
pow(3.603152, 0.521941) = 1.952339
pow(3.670724, -0.055191) = 0.930745
pow(-4.737949, -0.594711) = -nan
pow(-1.185164, 2.075312) = -nan
pow(-0.899308, 2.763959) = -nan
pow(-3.005686, -0.238522) = -nan
pow(-0.358462, -0.870031) = -nan
pow(0.555505, -2.288145) = 3.838765
pow(-4.703846, -2.996856) = -nan
pow(3.519502, -0.561373) = 0.493424
pow(-2.692361, 1.387724) = -nan
pow(-2.887992, -0.376860) = -nan
pow(2.109194, 1.067386) = 2.217979
pow(0.557953, 2.105635) = 0.292702
pow(-0.068290, -2.927609) = -nan
pow(-0.640529, 2.084990) = -nan
pow(-3.531582, 2.698351) = -nan
pow(-1.280797, 1.805915) = -nan
pow(4.632916, -1.192923) = 0.160578
pow(3.597912, -0.865014) = 0.330376
pow(4.561493, -1.603404) = 0.087738
pow(4.815019, 1.886146) = 19.385598
pow(3.637024, 1.040075) = 3.830169
pow(3.031810, 2.296650) = 12.773228
pow(-3.251636, -0.836061) = -nan
pow(2.899172, 2.221122) = 10.635722
pow(2.054389, 1.081675) = 2.178819
pow(-1.048032, -0.643302) = -nan
pow(4.862076, 0.331175) = 1.688333
pow(-3.771939, 2.121569) = -nan
pow(0.447125, 1.693521) = 0.255855
pow(-4.644732, 0.365623) = -nan
pow(-0.827690, -1.283079) = -nan
pow(-4.328858, -2.892604) = -nan
pow(3.060175, -2.226473) = 0.082889
pow(-0.734261, -2.693856) = -nan
pow(-2.292801, -1.001969) = -nan
pow(3.527781, -1.253189) = 0.206005
pow(-3.172424, -1.197749) = -nan
pow(2.759610, 2.519255) = 12.900537
pow(0.615648, 1.526691) = 0.476843
pow(-2.805592, -1.291884) = -nan
pow(4.939978, 0.299799) = 1.614276
pow(-3.762203, -2.962348) = -nan
pow(-4.271673, 1.265220) = -nan
pow(1.486713, 2.210124) = 2.402389
pow(-1.024081, -2.245018) = -nan
pow(-4.029223, 1.211519) = -nan
pow(0.886077, 1.729568) = 0.811239
pow(0.663887, 2.226396) = 0.401708
pow(4.579211, -2.046319) = 0.044444
pow(-4.079866, -0.267430) = -nan
pow(-2.878523, -1.352892) = -nan
pow(1.632674, -0.505978) = 0.780328
pow(-0.240996, -2.201908) = -nan
pow(2.133551, 2.985735) = 9.607597
pow(4.790956, 0.682302) = 2.912418
pow(0.669070, -2.378375) = 2.600727
pow(2.856733, 1.289941) = 3.872978
pow(-2.556381, -0.413561) = -nan
pow(3.620659, -1.497112) = 0.145691
pow(2.983650, 1.856865) = 7.612772
pow(0.305375, -1.366176) = 5.056008
pow(-2.727746, -2.336368) = -nan
pow(2.265897, -1.049150) = 0.423936
pow(-0.114141, -0.037160) = -nan
pow(-0.502707, -0.337992) = -nan
pow(-0.606104, 0.363422) = -nan
pow(3.162208, 2.665768) = 21.520796
pow(-4.791328, -2.624281) = -nan
pow(-3.698197, -2.058458) = -nan
pow(-0.024658, 1.031898) = -nan
pow(4.081433, -0.827838) = 0.312138
pow(-2.586449, -1.604196) = -nan
pow(-0.475177, 2.424293) = -nan
pow(4.876163, 1.468289) = 10.239941
pow(2.366389, -2.677577) = 0.099622
pow(-2.125079, -2.371636) = -nan
pow(3.744109, -1.568510) = 0.126095
pow(-0.868604, -1.010912) = -nan
pow(0.033593, 1.268017) = 0.013529
pow(-2.240269, -0.262042) = -nan
pow(-0.551261, 0.839532) = -nan
pow(1.316679, -0.290594) = 0.923166
pow(2.206038, -2.548857) = 0.133101
pow(3.389585, 2.945796) = 36.450507
pow(-3.368996, 1.573037) = -nan
pow(-3.673316, 0.944552) = -nan
pow(-0.037846, 0.770441) = -nan
pow(0.240022, -0.136325) = 1.214751
pow(0.323873, -2.374535) = 14.542224
pow(2.246038, 2.746631) = 9.230240
pow(-3.338987, 2.262688) = -nan
pow(1.062678, -0.554581) = 0.966848
pow(-1.374328, -1.023148) = -nan
pow(1.859301, 2.049161) = 3.564026
pow(-1.143650, -0.605752) = -nan
pow(-3.696540, 0.241738) = -nan
pow(-3.696615, -1.947695) = -nan
pow(4.540951, -1.969899) = 0.050756
pow(-2.428942, -1.851125) = -nan
pow(3.073918, 0.507874) = 1.768830
pow(0.611760, 0.529770) = 0.770792
pow(-0.645005, 2.714188) = -nan
pow(4.500548, 1.952069) = 18.845992
pow(3.562137, 1.071307) = 3.899883
pow(-0.847958, -0.949633) = -nan
pow(2.876745, 1.637561) = 5.642598
pow(3.873577, 2.843383) = 47.014123
pow(-4.215158, 1.605788) = -nan
pow(0.272564, -2.146786) = 16.290321
pow(-4.888860, -0.487762) = -nan
pow(-0.438600, -2.109909) = -nan
pow(-0.810130, -2.681167) = -nan
pow(-2.453195, -0.893721) = -nan
pow(-0.014541, -0.659970) = -nan
pow(3.780606, -0.368023) = 0.612977
pow(-0.142516, -1.588221) = -nan
pow(3.421447, 0.520835) = 1.897732
pow(1.982901, -1.871243) = 0.277765
pow(2.972325, -2.881754) = 0.043316
pow(2.429669, -1.169239) = 0.354163
pow(4.649684, 1.869657) = 17.695096
pow(-1.640976, 1.290783) = -nan
pow(-1.529653, -0.161671) = -nan
pow(-4.872266, -1.811750) = -nan
pow(3.993492, -1.865150) = 0.075577
pow(-4.430579, -1.436491) = -nan
pow(-0.622182, 1.851818) = -nan
pow(4.993130, -0.443732) = 0.489902
pow(2.776044, 1.154879) = 3.251648
pow(4.037231, 1.179803) = 5.188710
pow(3.293504, 2.110527) = 12.374606
pow(-1.930862, 0.847543) = -nan
pow(1.806152, 1.831425) = 2.952749
pow(-3.404779, 0.854731) = -nan
pow(-4.487548, -0.650936) = -nan
pow(-3.745911, 2.750042) = -nan
pow(-4.082482, 2.846738) = -nan
pow(2.443308, 1.105357) = 2.684444
pow(0.988820, 1.418959) = 0.984173
pow(-0.985666, 0.434372) = -nan
pow(-2.591690, -2.946825) = -nan
pow(2.284457, 0.247491) = 1.226861
pow(-3.061975, -0.254184) = -nan
pow(-3.118829, 2.339530) = -nan
pow(-3.990349, 1.475453) = -nan
pow(3.205924, -2.454162) = 0.057320
pow(-4.321579, -0.105476) = -nan
pow(-2.240669, -2.024164) = -nan
pow(3.892846, -2.026052) = 0.063692
pow(3.439949, -2.600904) = 0.040224
pow(-1.037779, 0.854885) = -nan
pow(2.064143, -2.117685) = 0.215516
pow(1.821515, 1.545389) = 2.526213
pow(1.386737, -1.855746) = 0.545124
pow(-4.953042, 1.705739) = -nan
pow(1.465507, -1.273489) = 0.614633
pow(-0.874551, 1.117736) = -nan
pow(2.088055, 0.415166) = 1.357519
pow(-4.613693, 0.896093) = -nan
pow(-0.850546, 0.147402) = -nan
pow(1.630130, 0.096306) = 1.048186
pow(4.240304, 1.634295) = 10.601128
pow(-0.233918, 0.038058) = -nan
pow(3.542936, 2.759809) = 32.819925
pow(-4.934005, -0.479950) = -nan
pow(0.690528, 1.820874) = 0.509530
pow(-1.415582, 2.459930) = -nan
pow(2.988103, -2.963425) = 0.039012
pow(-1.700243, 1.858714) = -nan
pow(-2.612959, -1.319806) = -nan
pow(0.430492, 1.871262) = 0.206563
pow(-2.689649, 0.410929) = -nan
pow(2.797439, -2.228271) = 0.101041
pow(4.230307, -2.105345) = 0.048003
pow(-0.596231, 0.206983) = -nan
pow(4.630880, -0.009546) = 0.985475
pow(-4.502582, 2.810255) = -nan
pow(-0.175838, 1.717432) = -nan
pow(-2.203097, -1.683145) = -nan
pow(-2.852709, 2.051237) = -nan
pow(-2.508903, 1.966628) = -nan
pow(-0.140526, -0.216553) = -nan
pow(1.388061, -0.637094) = 0.811470
pow(0.808670, -1.838557) = 1.477637
pow(4.294612, 1.672255) = 11.439586
pow(0.632218, -2.148799) = 2.678535
pow(1.341145, -0.338885) = 0.905316
pow(4.503425, 2.828424) = 70.549885
pow(-2.260503, -0.031354) = -nan
pow(-0.384025, -1.133463) = -nan
pow(3.272826, 1.552006) = 6.297433
pow(0.438803, 0.039609) = 0.967900
pow(-4.194724, -1.734240) = -nan
pow(-1.824007, -1.012322) = -nan
pow(4.867329, 2.270423) = 36.344653
pow(4.332852, -1.011302) = 0.227002
pow(0.779016, -1.215423) = 1.354618
pow(1.535828, -0.862830) = 0.690586
pow(2.612272, -0.975257) = 0.392013
pow(2.774212, -0.329464) = 0.714498
pow(-2.696383, -0.627856) = -nan
pow(1.595214, 0.683187) = 1.375825
pow(-0.569126, 0.971559) = -nan
pow(4.398656, -1.545702) = 0.101302
pow(2.200755, 0.204251) = 1.174818
pow(-0.128446, 2.107977) = -nan
pow(3.256412, -1.759941) = 0.125201
pow(-1.830042, 2.721584) = -nan
pow(2.195534, -0.951500) = 0.473178
pow(-3.547950, 2.954051) = -nan
pow(-4.547421, 2.345878) = -nan
pow(0.014466, 2.898118) = 0.000005
pow(2.016547, 1.174977) = 2.279858
pow(-0.770321, -0.695887) = -nan
pow(3.044814, 0.422534) = 1.600740
pow(2.986718, -0.602717) = 0.517121
pow(2.839595, 2.427710) = 12.600138
pow(-1.736991, 2.249628) = -nan
pow(3.730470, 0.902117) = 3.279425
pow(-2.521042, -2.979381) = -nan
pow(1.533378, -0.131958) = 0.945153
pow(4.278842, -0.430044) = 0.535183
pow(-4.571670, 0.627462) = -nan
pow(0.201373, 0.479889) = 0.463444
pow(-3.439144, 1.844594) = -nan
pow(-2.977680, 0.990828) = -nan
pow(1.928624, -1.141016) = 0.472637
pow(-2.322428, 1.256113) = -nan
pow(-4.931101, -2.521344) = -nan
pow(-1.744820, 0.062146) = -nan
pow(-0.963984, -2.962233) = -nan
pow(4.411304, 0.871330) = 3.644436
pow(-1.749024, 0.083835) = -nan
pow(-2.418665, 2.561563) = -nan
pow(-3.230179, -1.336071) = -nan
pow(-2.057246, -2.563574) = -nan
pow(-0.897742, 1.857844) = -nan
pow(2.792373, 1.837699) = 6.600324
pow(-3.874991, 0.551461) = -nan
pow(-2.450263, 2.300812) = -nan
pow(2.901182, -0.944791) = 0.365564
pow(-0.253365, -1.770922) = -nan
pow(1.715184, -1.482831) = 0.449321
pow(-3.527940, -2.356538) = -nan
pow(-4.792187, 0.616572) = -nan
pow(-2.457588, 1.463650) = -nan
pow(0.053825, 1.826841) = 0.004805
pow(-2.016548, 1.290216) = -nan
pow(3.988719, 1.342040) = 6.402393
pow(3.925866, 1.864268) = 12.801331
pow(-1.939967, -1.443153) = -nan
pow(2.585765, 2.645674) = 12.347410
pow(2.779728, -0.857998) = 0.415956
pow(4.792805, 0.445472) = 2.009943
pow(2.160235, -1.419436) = 0.335118
pow(-2.066608, 2.073556) = -nan
pow(-3.560894, -0.402245) = -nan
pow(2.816494, 0.096000) = 1.104516
pow(4.985026, -0.134819) = 0.805269
pow(-4.855063, -0.134004) = -nan
pow(0.448016, -2.150259) = 5.620932
pow(2.691036, -1.638364) = 0.197531
pow(4.848840, 0.278856) = 1.553081
pow(1.309124, -1.839179) = 0.609328
pow(-0.909476, 1.519711) = -nan
pow(2.290133, -2.543735) = 0.121509
pow(-3.818025, -2.425674) = -nan
pow(4.489860, 0.994499) = 4.452921
pow(3.501143, -2.216061) = 0.062230
pow(1.749245, -0.418145) = 0.791504
pow(0.732378, 2.780997) = 0.420561
pow(3.142996, -2.891148) = 0.036484
pow(-2.411972, 0.543491) = -nan
pow(1.447794, 0.904819) = 1.397689
pow(1.086230, -1.437233) = 0.887916
pow(-2.610710, -0.479215) = -nan
pow(0.411399, 2.780425) = 0.084623
pow(1.346993, -2.896683) = 0.421959
pow(1.421767, 0.487555) = 1.187168
pow(-4.234397, 1.925303) = -nan
pow(-4.079768, -2.094991) = -nan
pow(-2.962898, -1.606077) = -nan
pow(1.668516, -1.308971) = 0.511654
pow(-2.848913, -1.297732) = -nan
pow(3.984814, 0.427829) = 1.806641
pow(1.928956, 1.206982) = 2.209932
pow(-0.363863, -2.398192) = -nan
pow(0.582490, -1.388550) = 2.117917
pow(0.740437, 0.653081) = 0.821798
pow(-1.541798, -2.386879) = -nan
pow(-2.776013, -2.827489) = -nan
pow(-0.995711, -1.914507) = -nan
pow(-3.400648, -0.055819) = -nan
pow(4.543372, 0.252723) = 1.466003
pow(1.839351, -2.016434) = 0.292632
pow(-1.715794, 0.064592) = -nan
pow(1.323561, -2.415736) = 0.508041
pow(-1.167234, -2.123182) = -nan
pow(0.757927, -1.349992) = 1.453791
pow(3.496249, -2.896562) = 0.026633
pow(0.949479, -1.208701) = 1.064666
pow(-0.316567, -1.093037) = -nan
pow(2.470715, -1.835211) = 0.190146
pow(-0.070442, 1.475519) = -nan
pow(-3.781462, -0.809964) = -nan
pow(1.631200, -2.852186) = 0.247679
pow(3.813614, 1.868385) = 12.194404
pow(3.722745, -2.840475) = 0.023904
pow(-2.232421, -2.367422) = -nan
pow(2.272923, 1.183058) = 2.641560
pow(-1.335953, 2.667503) = -nan
pow(4.159261, 1.403994) = 7.397671
pow(0.853448, 1.339071) = 0.808801
pow(-2.497032, 2.563575) = -nan
pow(-4.702100, -0.556304) = -nan
pow(-0.806705, -2.616432) = -nan
pow(-1.624894, 2.428131) = -nan
pow(-1.303290, -2.353926) = -nan
pow(3.156503, -1.833741) = 0.121503
pow(3.653242, -1.355038) = 0.172802
pow(-3.122136, 1.782533) = -nan
pow(1.392261, 2.461635) = 2.258332
pow(-3.555918, 2.457204) = -nan
pow(1.425134, -2.740948) = 0.378695
pow(-3.057527, 1.027827) = -nan
pow(4.698946, 1.426657) = 9.093149
pow(2.552978, 0.901124) = 2.327018
pow(4.290615, 0.683829) = 2.707291
pow(-0.039172, -2.228311) = -nan
pow(2.459793, -1.321519) = 0.304383
pow(-4.145262, -2.479497) = -nan
pow(-2.666207, -0.755578) = -nan
pow(-2.096524, 2.406593) = -nan
pow(-4.612121, -1.686689) = -nan
pow(4.428900, -1.176963) = 0.173514
pow(4.616938, -1.857634) = 0.058327
pow(-3.429984, 0.949801) = -nan
pow(2.540915, -2.300545) = 0.117031
pow(1.726528, 2.720081) = 4.417043
pow(2.654563, 0.931068) = 2.481799
pow(-1.382954, -0.457238) = -nan
pow(-3.987842, 2.667672) = -nan
pow(-1.354768, -2.691591) = -nan
pow(4.867675, -2.083765) = 0.036964
pow(-1.116726, -1.690552) = -nan
pow(-4.386799, -1.212687) = -nan
pow(3.010146, 1.709271) = 6.577122
pow(-0.771200, 2.885563) = -nan
pow(4.865605, -1.080644) = 0.180905
pow(1.673082, -2.186786) = 0.324501
pow(-4.007939, 2.019104) = -nan
pow(3.276111, 2.972287) = 34.024661
pow(3.140193, 2.834574) = 25.624753
pow(4.950883, 0.985555) = 4.837804
pow(3.021292, 1.518514) = 5.360182
pow(-2.181006, -0.442530) = -nan
pow(-4.124853, -1.500241) = -nan
pow(-1.656945, 1.946835) = -nan
pow(-1.616750, -1.371666) = -nan
pow(2.053069, -1.403764) = 0.364300
pow(4.118426, 0.415601) = 1.800874
pow(-0.311498, 1.873712) = -nan
pow(-3.933226, -1.099661) = -nan
pow(3.361517, -2.032008) = 0.085129
pow(1.850678, -2.510476) = 0.213242
pow(-4.496325, 1.139026) = -nan
pow(3.830908, -1.219281) = 0.194443
pow(-0.454035, -2.294326) = -nan
pow(-2.940161, 1.741271) = -nan
pow(-0.218763, -2.035785) = -nan
pow(3.669507, 2.009881) = 13.639370
pow(4.819666, 0.348206) = 1.729142
pow(1.135365, 1.641562) = 1.231710
pow(1.252442, 0.839994) = 1.208136
pow(2.691498, 2.977762) = 19.073041
pow(-0.189945, 0.551175) = -nan
pow(-3.577708, 2.738372) = -nan
pow(-2.790352, -2.655430) = -nan
pow(-0.544871, -1.531968) = -nan
pow(4.297053, -0.254109) = 0.690408
pow(-3.803844, -1.042439) = -nan
pow(0.379188, -2.683717) = 13.496965
pow(4.780991, 2.752215) = 74.161612
pow(-3.572647, -0.248872) = -nan
pow(3.102194, -1.880897) = 0.118911
pow(-3.439468, -2.948415) = -nan
pow(1.026741, 2.179758) = 1.059211
pow(-3.053786, -2.756627) = -nan
pow(-0.528119, -0.321783) = -nan
pow(2.218939, 2.969052) = 10.659167
pow(2.852007, 2.756644) = 17.975807
pow(-1.641262, -0.915801) = -nan
pow(0.282451, -1.830845) = 10.121373
pow(-3.575254, 2.513969) = -nan
pow(-2.350822, 0.413117) = -nan
pow(2.811908, 0.025840) = 1.027075
pow(0.241716, 0.498784) = 0.492496
pow(2.478787, -2.695108) = 0.086593
pow(3.274667, -1.281009) = 0.218810
pow(-2.460793, -2.932608) = -nan
pow(2.857482, -0.652867) = 0.503852
pow(-4.205861, 2.250320) = -nan
pow(4.722979, 1.720627) = 14.456860
pow(-1.052494, 2.563520) = -nan
pow(-2.949938, 1.075854) = -nan
pow(0.866595, 0.086638) = 0.987671
pow(-3.056719, -0.308576) = -nan
pow(-1.054866, -0.145727) = -nan
pow(0.582961, -1.405541) = 2.135024
pow(1.012504, 0.396192) = 1.004935
pow(2.686980, -0.314625) = 0.732728
pow(0.241671, 2.205871) = 0.043598
pow(-0.545802, -1.818092) = -nan
pow(-3.043930, -2.276425) = -nan
pow(-1.990090, 0.204395) = -nan
pow(-4.277090, -1.987607) = -nan
pow(-0.857951, -0.527524) = -nan
pow(1.422944, 1.224316) = 1.540105
pow(3.092748, -1.757908) = 0.137410
pow(-1.323990, 1.541897) = -nan
pow(3.658200, 0.153851) = 1.220842
pow(2.951056, 0.138887) = 1.162182
pow(1.307765, -2.091148) = 0.570583
pow(0.028003, 0.340733) = 0.295740
pow(-0.498372, -2.156848) = -nan
pow(-4.255874, -0.899900) = -nan
pow(2.274917, -1.623780) = 0.263249
pow(-0.230540, -0.960163) = -nan
pow(3.153671, 0.521442) = 1.820137
pow(2.332258, -1.050311) = 0.410885
pow(-2.975483, 0.923900) = -nan
pow(4.507494, -0.181594) = 0.760762
pow(-4.296285, -0.677934) = -nan
pow(3.101588, -2.331793) = 0.071405
pow(4.507233, -0.773697) = 0.311940
pow(-2.406577, -0.257487) = -nan
pow(-0.207791, 0.814246) = -nan
pow(0.110103, -0.657831) = 4.269070
pow(0.073274, 0.862768) = 0.104886
pow(-4.723771, -2.012686) = -nan
pow(0.693809, 0.766498) = 0.755633
pow(1.886761, -0.489530) = 0.732872
pow(1.504853, 2.353510) = 2.616580
pow(4.872412, 1.526028) = 11.207710
pow(-1.099997, 0.956136) = -nan
pow(1.174369, -1.289867) = 0.812758
pow(-4.378623, 2.353969) = -nan
pow(-1.586651, 1.021678) = -nan
pow(-0.728638, 0.682505) = -nan
pow(4.354942, 2.245668) = 27.223386
pow(-2.726118, -1.731834) = -nan
pow(0.274437, 0.196599) = 0.775529
pow(-4.711026, -1.187960) = -nan
pow(-4.727234, -0.716291) = -nan
pow(2.477061, -0.004158) = 0.996235
pow(-1.514354, -1.905433) = -nan
pow(0.288539, 0.808825) = 0.365932
pow(-1.560526, -2.818162) = -nan
pow(3.369325, -2.992697) = 0.026377
pow(4.019737, -1.317354) = 0.159977
pow(-3.491104, -1.555196) = -nan
pow(-3.066081, -1.240611) = -nan
pow(3.059001, 0.045849) = 1.052600
pow(1.605851, -1.568069) = 0.475817
pow(-0.866010, 0.988771) = -nan
pow(0.627865, 2.931347) = 0.255550
pow(2.356356, 2.503144) = 8.546189
pow(4.067606, -2.298474) = 0.039760
pow(-4.190184, 0.811997) = -nan
pow(3.510076, -1.739604) = 0.112555
pow(-3.172158, -0.483813) = -nan
pow(4.631749, 0.280552) = 1.537361
pow(1.341030, -1.191529) = 0.704942
pow(-3.019179, -1.536111) = -nan
pow(3.726091, -0.871774) = 0.317685
pow(0.992720, 1.555040) = 0.988702
pow(0.478292, 2.097067) = 0.212958
pow(0.678525, 2.360868) = 0.400266
pow(0.962445, 2.963030) = 0.892776
pow(4.423767, 0.235657) = 1.419663
pow(2.682993, 0.689001) = 1.973874
pow(0.298711, -2.989149) = 37.029848
pow(-0.998398, -2.612818) = -nan
pow(-3.925382, 2.025207) = -nan
pow(-4.362145, 2.118054) = -nan
pow(3.730598, -2.924014) = 0.021287
pow(1.447225, 0.382040) = 1.151678
pow(-1.379321, -2.210861) = -nan
pow(0.540277, 2.594389) = 0.202443
pow(0.766630, 0.420247) = 0.894329
pow(-4.625532, 2.009087) = -nan
pow(-0.546044, 1.909444) = -nan
pow(1.227227, -0.189421) = 0.961957
pow(-0.639224, -0.087013) = -nan
pow(-0.529387, 1.803332) = -nan
pow(-2.837575, 0.106329) = -nan
pow(3.365763, 2.400802) = 18.425671
pow(-1.592959, -0.344799) = -nan
pow(1.556690, -0.582073) = 0.772902
pow(-2.775300, -2.416229) = -nan
pow(4.659339, 2.338646) = 36.557305
pow(-3.127519, 0.442127) = -nan
pow(-0.650709, 1.324259) = -nan
pow(-2.146281, 2.708746) = -nan
pow(3.864540, -2.712058) = 0.025572
pow(3.619046, 2.860874) = 39.633971
pow(4.486757, -1.554175) = 0.097002
pow(-2.222977, -1.122162) = -nan
pow(3.017513, -1.558992) = 0.178744
pow(-2.708485, 1.451013) = -nan
pow(0.388405, 0.425054) = 0.668996
pow(1.403709, 1.532818) = 1.681702
pow(-4.274150, 0.468164) = -nan
pow(-1.291485, -1.181726) = -nan
pow(0.227944, 1.943583) = 0.056479
pow(0.027290, 2.801853) = 0.000041
pow(2.842351, -1.055873) = 0.331875
pow(-3.452340, -2.248375) = -nan
pow(0.005922, -2.550603) = 480434.581654
pow(0.331670, 0.094314) = 0.901148
pow(2.964084, -0.885381) = 0.382118
pow(-3.481292, -0.388228) = -nan
pow(1.811885, 0.212117) = 1.134368
pow(-3.387127, -1.277076) = -nan
pow(0.835596, -1.720543) = 1.362100
pow(2.213206, -1.774602) = 0.244188
pow(3.969828, -1.311138) = 0.164032
pow(-1.395010, 0.781055) = -nan
pow(-3.797051, -1.226052) = -nan
pow(0.246174, 2.657089) = 0.024125
pow(-1.389163, -1.702970) = -nan
pow(3.014465, -0.035266) = 0.961834
pow(0.888999, 0.211930) = 0.975373
pow(4.991953, -0.727703) = 0.310360
pow(2.487428, -1.302374) = 0.305200
pow(-1.960333, 2.234102) = -nan
pow(1.973040, -2.346940) = 0.202924
pow(-4.745896, 0.053870) = -nan
pow(-4.912797, 2.223468) = -nan
pow(-1.837438, -0.853052) = -nan
pow(0.630963, 0.989235) = 0.634099
pow(-2.869216, -0.647154) = -nan
pow(-3.874888, 0.355662) = -nan
pow(-0.810452, -2.215634) = -nan
pow(-4.196896, -1.095019) = -nan
pow(-2.526497, 2.968760) = -nan
pow(-0.891366, -0.302784) = -nan
pow(-0.706341, -1.285420) = -nan
pow(-4.048495, 1.151867) = -nan
pow(2.604338, 0.775555) = 2.100855
pow(-2.955419, -0.710050) = -nan
pow(-2.697907, -0.932344) = -nan
pow(-0.569376, -2.143068) = -nan
pow(-0.457626, 0.403300) = -nan
pow(-3.230519, 1.064288) = -nan
pow(-2.800016, 2.786667) = -nan
pow(0.152391, -0.088270) = 1.180647
pow(0.084060, 2.956814) = 0.000661
pow(-3.017836, 2.600487) = -nan
pow(-0.062507, 0.679432) = -nan
pow(2.202247, -1.648612) = 0.272112
pow(-3.578153, -2.737077) = -nan
pow(-1.300909, -1.490871) = -nan
pow(4.347360, -2.039996) = 0.049891
pow(-0.494483, -2.063472) = -nan
pow(-2.374271, -2.569513) = -nan
pow(-4.286929, 0.383765) = -nan
pow(4.672722, -2.586703) = 0.018536
pow(-0.151136, -2.681964) = -nan
pow(-3.001061, -0.426479) = -nan
pow(-1.408936, 0.550592) = -nan
pow(4.976749, 0.097928) = 1.170175
pow(-0.863224, -1.013446) = -nan
pow(3.753916, -1.655140) = 0.111982
pow(-3.048298, 1.293557) = -nan
pow(0.164962, 1.164030) = 0.122747
pow(4.525533, 0.488202) = 2.089772
pow(-4.754794, -1.481043) = -nan
pow(-2.691082, 0.870222) = -nan
pow(4.462442, 2.432680) = 38.036646
pow(-4.513269, 1.460689) = -nan
pow(-2.568947, 2.342991) = -nan
pow(1.650941, 0.803999) = 1.496428
pow(-4.719770, -2.328021) = -nan
pow(-3.356177, 2.347434) = -nan
pow(2.556170, 0.907973) = 2.344663
pow(3.972207, -0.335627) = 0.629431
pow(3.196907, 1.726645) = 7.438576
pow(1.638971, -2.722537) = 0.260509
pow(4.584452, -0.076074) = 0.890621
pow(2.372285, 0.075968) = 1.067827
pow(1.690931, 2.296240) = 3.340656
pow(3.408348, 2.358565) = 18.031821
pow(-4.168051, -0.403645) = -nan
pow(4.213958, 0.228787) = 1.389700
pow(1.282377, 2.164873) = 1.713327
pow(2.270198, 1.178980) = 2.629009
pow(4.956160, 2.664436) = 71.149263
pow(0.890139, -1.799173) = 1.232918
pow(2.436733, 0.519169) = 1.587884
pow(-4.556488, 1.664192) = -nan
pow(-1.014265, 0.672348) = -nan
pow(3.104620, -1.032259) = 0.310542
pow(-4.064100, 2.525669) = -nan
pow(-3.748719, -1.737648) = -nan
pow(-2.177619, -0.342141) = -nan
pow(-0.456046, -1.523254) = -nan
pow(-4.201241, -2.432280) = -nan
pow(4.000258, 0.669459) = 2.529723
pow(1.453957, 1.376049) = 1.673704
pow(-4.828663, 2.015012) = -nan
pow(-0.694905, 2.910190) = -nan
pow(2.736191, -0.562083) = 0.567920
pow(-1.245801, 2.845999) = -nan
pow(3.473921, 1.070833) = 3.794269
pow(-3.598416, -2.472225) = -nan
pow(-1.288435, -0.094010) = -nan
pow(0.149272, 1.403446) = 0.069299
pow(-2.490822, 2.104343) = -nan
pow(0.167573, -2.838961) = 159.387755
pow(-4.406037, 2.519004) = -nan
pow(-0.070086, 2.913962) = -nan
pow(-3.662433, 2.417802) = -nan
pow(3.976889, 1.103689) = 4.588912
pow(-2.524400, -2.466647) = -nan
pow(-0.362506, 0.520592) = -nan
pow(0.231620, -2.532554) = 40.619968
pow(1.116010, -1.041414) = 0.891986
pow(3.439517, 1.334446) = 5.199086
pow(-2.002567, -0.477303) = -nan
pow(-3.878534, 1.168938) = -nan
pow(-4.126810, 2.410070) = -nan
pow(1.467079, -0.900898) = 0.708015
pow(4.607360, -2.231832) = 0.033059
pow(2.236544, -2.280909) = 0.159458
pow(-2.674065, 2.578012) = -nan
pow(4.847614, 2.245807) = 34.638883
pow(2.255095, 0.295864) = 1.272005
pow(-0.815440, -0.832925) = -nan
pow(-2.840537, 0.169684) = -nan
pow(-2.032535, 2.208118) = -nan
pow(-2.378489, 0.854177) = -nan
